,SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash,Event,Round,Batch
3375,./02_42_WHIP_000001.JPG,02_42_WHIP_000001.JPG,864 kB,,1/24/19 16:08,2000x1500,,0,2.8,100,,No Flash,1,2,1
3870,./02_42_WHIP_000002.JPG,02_42_WHIP_000002.JPG,786 kB,,1/24/19 16:08,2000x1500,,0,2.8,100,,No Flash,1,2,1
4031,./02_42_WHIP_000003.JPG,02_42_WHIP_000003.JPG,787 kB,,1/24/19 16:08,2000x1500,,0,2.8,100,,No Flash,1,2,1
3099,./18_40_WHIP_000001.JPG,18_40_WHIP_000001.JPG,773 kB,,1/24/19 23:43,2000x1500,,0,2.8,100,,No Flash,2,2,1
3291,./18_40_WHIP_000002.JPG,18_40_WHIP_000002.JPG,773 kB,,1/24/19 23:43,2000x1500,,0,2.8,100,,No Flash,2,2,1
3462,./18_40_WHIP_000003.JPG,18_40_WHIP_000003.JPG,770 kB,,1/24/19 23:43,2000x1500,,0,2.8,100,,No Flash,2,2,1
3631,./18_40_WHIP_000004.JPG,18_40_WHIP_000004.JPG,774 kB,,1/24/19 23:46,2000x1500,,0,2.8,100,,No Flash,3,2,1
3763,./18_40_WHIP_000005.JPG,18_40_WHIP_000005.JPG,773 kB,,1/24/19 23:46,2000x1500,,0,2.8,100,,No Flash,3,2,1
3847,./18_40_WHIP_000006.JPG,18_40_WHIP_000006.JPG,772 kB,,1/24/19 23:46,2000x1500,,0,2.8,100,,No Flash,3,2,1
4118,./02_42_WHIP_000004.JPG,02_42_WHIP_000004.JPG,862 kB,,1/25/19 0:04,2000x1500,,0,2.8,100,,No Flash,4,2,1
4203,./02_42_WHIP_000005.JPG,02_42_WHIP_000005.JPG,859 kB,,1/25/19 0:04,2000x1500,,0,2.8,100,,No Flash,4,2,1
4271,./02_42_WHIP_000006.JPG,02_42_WHIP_000006.JPG,858 kB,,1/25/19 0:04,2000x1500,,0,2.8,100,,No Flash,4,2,1
3891,./18_40_WHIP_000007.JPG,18_40_WHIP_000007.JPG,838 kB,,1/25/19 8:45,2000x1500,,0,2.8,100,,No Flash,5,2,1
3934,./18_40_WHIP_000008.JPG,18_40_WHIP_000008.JPG,838 kB,,1/25/19 8:45,2000x1500,,0,2.8,100,,No Flash,5,2,1
3975,./18_40_WHIP_000009.JPG,18_40_WHIP_000009.JPG,834 kB,,1/25/19 8:45,2000x1500,,0,2.8,100,,No Flash,5,2,1
4315,./02_42_WHIP_000007.JPG,02_42_WHIP_000007.JPG,861 kB,,1/25/19 18:25,2000x1500,,0,2.8,100,,No Flash,6,2,1
4358,./02_42_WHIP_000008.JPG,02_42_WHIP_000008.JPG,859 kB,,1/25/19 18:25,2000x1500,,0,2.8,100,,No Flash,6,2,1
4398,./02_42_WHIP_000009.JPG,02_42_WHIP_000009.JPG,860 kB,,1/25/19 18:25,2000x1500,,0,2.8,100,,No Flash,6,2,1
3212,./31_41_WHIP_0001.JPG,31_41_WHIP_0001.JPG,767 kB,BTC5HDP,1/27/19 10:56,2000x1111,42.0 mm,1/362,2.4,100,Unknown (288),"Auto, Did not fire",7,2,1
3547,./31_41_WHIP_0002.JPG,31_41_WHIP_0002.JPG,763 kB,BTC5HDP,1/27/19 10:56,2000x1111,42.0 mm,1/362,2.4,100,Unknown (288),"Auto, Did not fire",7,2,1
3806,./31_41_WHIP_0003.JPG,31_41_WHIP_0003.JPG,763 kB,BTC5HDP,1/27/19 10:56,2000x1111,42.0 mm,1/362,2.4,100,Unknown (288),"Auto, Did not fire",7,2,1
3911,./31_41_WHIP_0004.JPG,31_41_WHIP_0004.JPG,790 kB,BTC5HDP,1/27/19 23:28,2000x1111,42.0 mm,20-Jan,2.4,1600,Unknown (288),"Auto, Fired",8,2,1
3998,./31_41_WHIP_0005.JPG,31_41_WHIP_0005.JPG,840 kB,BTC5HDP,1/27/19 23:28,2000x1111,42.0 mm,20-Jan,2.4,200,Unknown (288),"Auto, Fired",8,2,1
4054,./31_41_WHIP_0006.JPG,31_41_WHIP_0006.JPG,849 kB,BTC5HDP,1/27/19 23:28,2000x1111,42.0 mm,20-Jan,2.4,100,Unknown (288),"Auto, Fired",8,2,1
4095,./31_41_WHIP_0007.JPG,31_41_WHIP_0007.JPG,716 kB,BTC5HDP,1/29/19 11:15,2000x1111,42.0 mm,1/279,2.4,100,Unknown (288),"Auto, Did not fire",9,2,1
4139,./31_41_WHIP_0008.JPG,31_41_WHIP_0008.JPG,715 kB,BTC5HDP,1/29/19 11:15,2000x1111,42.0 mm,1/279,2.4,100,Unknown (288),"Auto, Did not fire",9,2,1
4182,./31_41_WHIP_0009.JPG,31_41_WHIP_0009.JPG,715 kB,BTC5HDP,1/29/19 11:15,2000x1111,42.0 mm,1/279,2.4,100,Unknown (288),"Auto, Did not fire",9,2,1
2972,./32_39_WHIP_0001.JPG,32_39_WHIP_0001.JPG,801 kB,BTC5HDP,1/30/19 1:44,2000x1111,42.0 mm,20-Jan,2.4,1600,Unknown (288),"Auto, Fired",10,2,1
3156,./32_39_WHIP_0002.JPG,32_39_WHIP_0002.JPG,738 kB,BTC5HDP,1/30/19 1:44,2000x1111,42.0 mm,Jan-43,2.4,100,Unknown (288),"Auto, Fired",10,2,1
3247,./32_39_WHIP_0003.JPG,32_39_WHIP_0003.JPG,728 kB,BTC5HDP,1/30/19 1:44,2000x1111,42.0 mm,Jan-54,2.4,100,Unknown (288),"Auto, Fired",10,2,1
4019,./18_40_WHIP_000010.JPG,18_40_WHIP_000010.JPG,789 kB,,1/30/19 10:23,2000x1500,,0,2.8,100,,No Flash,11,2,1
4043,./18_40_WHIP_000011.JPG,18_40_WHIP_000011.JPG,778 kB,,1/30/19 10:23,2000x1500,,0,2.8,100,,No Flash,11,2,1
4063,./18_40_WHIP_000012.JPG,18_40_WHIP_000012.JPG,727 kB,,1/30/19 10:23,2000x1500,,0,2.8,100,,No Flash,11,2,1
4159,./04_36_WF_000001.JPG,04_36_WF_000001.JPG,757 kB,,1/31/19 15:21,2000x1500,,0,2.8,100,,No Flash,12,2,1
4549,./04_36_WF_000002.JPG,04_36_WF_000002.JPG,762 kB,,1/31/19 15:21,2000x1500,,0,2.8,100,,No Flash,12,2,1
4717,./04_36_WF_000003.JPG,04_36_WF_000003.JPG,761 kB,,1/31/19 15:21,2000x1500,,0,2.8,100,,No Flash,12,2,1
3955,./33_32_WF_0001.JPG,33_32_WF_0001.JPG,774 kB,BTC5HDP,1/31/19 17:26,2000x1111,42.0 mm,Jan-43,2.4,100,Unknown (288),"Auto, Fired",13,2,1
4294,./33_32_WF_0002.JPG,33_32_WF_0002.JPG,765 kB,BTC5HDP,1/31/19 17:26,2000x1111,42.0 mm,Jan-54,2.4,100,Unknown (288),"Auto, Fired",13,2,1
4462,./33_32_WF_0003.JPG,33_32_WF_0003.JPG,758 kB,BTC5HDP,1/31/19 17:26,2000x1111,42.0 mm,Jan-59,2.4,100,Unknown (288),"Auto, Fired",13,2,1
4590,./33_32_WF_0004.JPG,33_32_WF_0004.JPG,782 kB,BTC5HDP,1/31/19 17:27,2000x1111,42.0 mm,Jan-38,2.4,100,Unknown (288),"Auto, Fired",14,2,1
4676,./33_32_WF_0005.JPG,33_32_WF_0005.JPG,763 kB,BTC5HDP,1/31/19 17:27,2000x1111,42.0 mm,Jan-56,2.4,100,Unknown (288),"Auto, Fired",14,2,1
4761,./33_32_WF_0006.JPG,33_32_WF_0006.JPG,759 kB,BTC5HDP,1/31/19 17:27,2000x1111,42.0 mm,Jan-59,2.4,100,Unknown (288),"Auto, Fired",14,2,1
4844,./33_32_WF_0007.JPG,33_32_WF_0007.JPG,784 kB,BTC5HDP,1/31/19 17:28,2000x1111,42.0 mm,Jan-38,2.4,100,Unknown (288),"Auto, Fired",15,2,1
4931,./33_32_WF_0008.JPG,33_32_WF_0008.JPG,761 kB,BTC5HDP,1/31/19 17:28,2000x1111,42.0 mm,Jan-56,2.4,100,Unknown (288),"Auto, Fired",15,2,1
5015,./33_32_WF_0009.JPG,33_32_WF_0009.JPG,763 kB,BTC5HDP,1/31/19 17:28,2000x1111,42.0 mm,Jan-56,2.4,100,Unknown (288),"Auto, Fired",15,2,1
3719,./22_31_WF_0001.JPG,22_31_WF_0001.JPG,704 kB,BTC5HDP,2/3/19 16:23,2000x1111,42.0 mm,Jan-76,2.4,100,Unknown (288),"Auto, Did not fire",16,2,1
4075,./22_31_WF_0002.JPG,22_31_WF_0002.JPG,702 kB,BTC5HDP,2/3/19 16:23,2000x1111,42.0 mm,Jan-76,2.4,100,Unknown (288),"Auto, Did not fire",16,2,1
4246,./22_31_WF_0003.JPG,22_31_WF_0003.JPG,699 kB,BTC5HDP,2/3/19 16:23,2000x1111,42.0 mm,Jan-76,2.4,100,Unknown (288),"Auto, Did not fire",16,2,1
4335,./22_31_WF_0004.JPG,22_31_WF_0004.JPG,706 kB,BTC5HDP,2/3/19 16:28,2000x1111,42.0 mm,Jan-73,2.4,100,Unknown (288),"Auto, Did not fire",17,2,1
4421,./22_31_WF_0005.JPG,22_31_WF_0005.JPG,706 kB,BTC5HDP,2/3/19 16:28,2000x1111,42.0 mm,Jan-73,2.4,100,Unknown (288),"Auto, Did not fire",17,2,1
4506,./22_31_WF_0006.JPG,22_31_WF_0006.JPG,705 kB,BTC5HDP,2/3/19 16:28,2000x1111,42.0 mm,Jan-73,2.4,100,Unknown (288),"Auto, Did not fire",17,2,1
4570,./22_31_WF_0007.JPG,22_31_WF_0007.JPG,712 kB,BTC5HDP,2/3/19 16:29,2000x1111,42.0 mm,Jan-73,2.4,100,Unknown (288),"Auto, Did not fire",17,2,1
4613,./22_31_WF_0008.JPG,22_31_WF_0008.JPG,708 kB,BTC5HDP,2/3/19 16:29,2000x1111,42.0 mm,Jan-76,2.4,100,Unknown (288),"Auto, Did not fire",17,2,1
4653,./22_31_WF_0009.JPG,22_31_WF_0009.JPG,708 kB,BTC5HDP,2/3/19 16:29,2000x1111,42.0 mm,Jan-76,2.4,100,Unknown (288),"Auto, Did not fire",17,2,1
4697,./22_31_WF_0010.JPG,22_31_WF_0010.JPG,704 kB,BTC5HDP,2/3/19 16:32,2000x1111,42.0 mm,Jan-67,2.4,100,Unknown (288),"Auto, Did not fire",18,2,1
4740,./22_31_WF_0011.JPG,22_31_WF_0011.JPG,705 kB,BTC5HDP,2/3/19 16:32,2000x1111,42.0 mm,Jan-67,2.4,100,Unknown (288),"Auto, Did not fire",18,2,1
4781,./22_31_WF_0012.JPG,22_31_WF_0012.JPG,703 kB,BTC5HDP,2/3/19 16:32,2000x1111,42.0 mm,Jan-67,2.4,100,Unknown (288),"Auto, Did not fire",18,2,1
4824,./22_31_WF_0013.JPG,22_31_WF_0013.JPG,706 kB,BTC5HDP,2/3/19 16:34,2000x1111,42.0 mm,Jan-73,2.4,100,Unknown (288),"Auto, Did not fire",19,2,1
4867,./22_31_WF_0014.JPG,22_31_WF_0014.JPG,707 kB,BTC5HDP,2/3/19 16:34,2000x1111,42.0 mm,Jan-73,2.4,100,Unknown (288),"Auto, Did not fire",19,2,1
4908,./22_31_WF_0015.JPG,22_31_WF_0015.JPG,704 kB,BTC5HDP,2/3/19 16:34,2000x1111,42.0 mm,Jan-73,2.4,100,Unknown (288),"Auto, Did not fire",19,2,1
4952,./22_31_WF_0016.JPG,22_31_WF_0016.JPG,698 kB,BTC5HDP,2/3/19 16:37,2000x1111,42.0 mm,Jan-95,2.4,100,Unknown (288),"Auto, Did not fire",20,2,1
4994,./22_31_WF_0017.JPG,22_31_WF_0017.JPG,697 kB,BTC5HDP,2/3/19 16:37,2000x1111,42.0 mm,Jan-95,2.4,100,Unknown (288),"Auto, Did not fire",20,2,1
5035,./22_31_WF_0018.JPG,22_31_WF_0018.JPG,697 kB,BTC5HDP,2/3/19 16:37,2000x1111,42.0 mm,Jan-95,2.4,100,Unknown (288),"Auto, Did not fire",20,2,1
4888,./04_36_WF_000004.JPG,04_36_WF_000004.JPG,786 kB,,2/3/19 23:43,2000x1500,,0,2.8,100,,No Flash,21,2,1
5058,./04_36_WF_000005.JPG,04_36_WF_000005.JPG,785 kB,,2/3/19 23:43,2000x1500,,0,2.8,100,,No Flash,21,2,1
5226,./04_36_WF_000006.JPG,04_36_WF_000006.JPG,779 kB,,2/3/19 23:43,2000x1500,,0,2.8,100,,No Flash,21,2,1
5397,./04_36_WF_000007.JPG,04_36_WF_000007.JPG,171 kB,,2/4/19 1:54,2000x1500,,0,2.8,100,,No Flash,22,2,1
5567,./04_36_WF_000008.JPG,04_36_WF_000008.JPG,848 kB,,2/4/19 1:54,2000x1500,,0,2.8,100,,No Flash,22,2,1
5651,./04_36_WF_000009.JPG,04_36_WF_000009.JPG,843 kB,,2/4/19 1:54,2000x1500,,0,2.8,100,,No Flash,22,2,1
5079,./22_31_WF_0019.JPG,22_31_WF_0019.JPG,725 kB,BTC5HDP,2/4/19 8:19,2000x1111,42.0 mm,Jan-64,2.4,100,Unknown (288),"Auto, Did not fire",23,2,1
5122,./22_31_WF_0020.JPG,22_31_WF_0020.JPG,723 kB,BTC5HDP,2/4/19 8:19,2000x1111,42.0 mm,Jan-64,2.4,100,Unknown (288),"Auto, Did not fire",23,2,1
5162,./22_31_WF_0021.JPG,22_31_WF_0021.JPG,725 kB,BTC5HDP,2/4/19 8:19,2000x1111,42.0 mm,Jan-64,2.4,100,Unknown (288),"Auto, Did not fire",23,2,1
5206,./22_31_WF_0022.JPG,22_31_WF_0022.JPG,724 kB,BTC5HDP,2/4/19 8:20,2000x1111,42.0 mm,Jan-67,2.4,100,Unknown (288),"Auto, Did not fire",23,2,1
5249,./22_31_WF_0023.JPG,22_31_WF_0023.JPG,725 kB,BTC5HDP,2/4/19 8:20,2000x1111,42.0 mm,Jan-67,2.4,100,Unknown (288),"Auto, Did not fire",23,2,1
5290,./22_31_WF_0024.JPG,22_31_WF_0024.JPG,726 kB,BTC5HDP,2/4/19 8:20,2000x1111,42.0 mm,Jan-67,2.4,100,Unknown (288),"Auto, Did not fire",23,2,1
5734,./04_36_WF_000010.JPG,04_36_WF_000010.JPG,795 kB,,2/4/19 18:11,2000x1500,,0,2.8,100,,No Flash,24,2,1
5820,./04_36_WF_000011.JPG,04_36_WF_000011.JPG,794 kB,,2/4/19 18:11,2000x1500,,0,2.8,100,,No Flash,24,2,1
5904,./04_36_WF_000012.JPG,04_36_WF_000012.JPG,794 kB,,2/4/19 18:11,2000x1500,,0,2.8,100,,No Flash,24,2,1
5987,./04_36_WF_000013.JPG,04_36_WF_000013.JPG,825 kB,,2/4/19 23:28,2000x1500,,0,2.8,100,,No Flash,25,2,1
6073,./04_36_WF_000014.JPG,04_36_WF_000014.JPG,825 kB,,2/4/19 23:28,2000x1500,,0,2.8,100,,No Flash,25,2,1
6157,./04_36_WF_000015.JPG,04_36_WF_000015.JPG,825 kB,,2/4/19 23:28,2000x1500,,0,2.8,100,,No Flash,25,2,1
6240,./04_36_WF_000016.JPG,04_36_WF_000016.JPG,819 kB,,2/5/19 1:38,2000x1500,,0,2.8,100,,No Flash,26,2,1
6326,./04_36_WF_000017.JPG,04_36_WF_000017.JPG,817 kB,,2/5/19 1:38,2000x1500,,0,2.8,100,,No Flash,26,2,1
6410,./04_36_WF_000018.JPG,04_36_WF_000018.JPG,817 kB,,2/5/19 1:38,2000x1500,,0,2.8,100,,No Flash,26,2,1
5099,./33_32_WF_0010.JPG,33_32_WF_0010.JPG,786 kB,BTC5HDP,2/5/19 14:49,2000x1111,42.0 mm,1/362,2.4,100,Unknown (288),"Auto, Did not fire",27,2,1
5185,./33_32_WF_0011.JPG,33_32_WF_0011.JPG,787 kB,BTC5HDP,2/5/19 14:49,2000x1111,42.0 mm,1/362,2.4,100,Unknown (288),"Auto, Did not fire",27,2,1
5270,./33_32_WF_0012.JPG,33_32_WF_0012.JPG,787 kB,BTC5HDP,2/5/19 14:49,2000x1111,42.0 mm,1/362,2.4,100,Unknown (288),"Auto, Did not fire",27,2,1
5333,./22_31_WF_0025.JPG,22_31_WF_0025.JPG,872 kB,BTC5HDP,2/5/19 15:29,2000x1111,42.0 mm,1/304,2.4,100,Unknown (288),"Auto, Did not fire",28,2,1
5376,./22_31_WF_0026.JPG,22_31_WF_0026.JPG,876 kB,BTC5HDP,2/5/19 15:29,2000x1111,42.0 mm,1/304,2.4,100,Unknown (288),"Auto, Did not fire",28,2,1
5417,./22_31_WF_0027.JPG,22_31_WF_0027.JPG,783 kB,BTC5HDP,2/5/19 15:29,2000x1111,42.0 mm,1/318,2.4,100,Unknown (288),"Auto, Did not fire",28,2,1
