,SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash,Event,Round,Batch
379,./14_25_DON_000001.JPG,14_25_DON_000001.JPG,710 kB,,9/19/19 6:38,2000x1500,,0,2.8,100,,No Flash,1,4,1
381,./14_25_DON_000002.JPG,14_25_DON_000002.JPG,710 kB,,9/19/19 6:38,2000x1500,,0,2.8,100,,No Flash,1,4,1
383,./14_25_DON_000003.JPG,14_25_DON_000003.JPG,711 kB,,9/19/19 6:38,2000x1500,,0,2.8,100,,No Flash,1,4,1
1,./30_17_DON_0001.JPG,30_17_DON_0001.JPG,854 kB,BTC5HDP,9/20/19 4:15,2000x1111,42.0 mm,20-Jan,2.4,1600,Unknown (288),"Auto, Fired",2,4,1
3,./30_17_DON_0002.JPG,30_17_DON_0002.JPG,873 kB,BTC5HDP,9/20/19 4:15,2000x1111,42.0 mm,20-Jan,2.4,200,Unknown (288),"Auto, Fired",2,4,1
5,./30_17_DON_0003.JPG,30_17_DON_0003.JPG,782 kB,BTC5HDP,9/20/19 4:15,2000x1111,42.0 mm,20-Jan,2.4,200,Unknown (288),"Auto, Fired",2,4,1
472,./28_01_SH_0001.JPG,28_01_SH_0001.JPG,877 kB,BTC5HDP,9/20/19 11:12,2000x1111,42.0 mm,Jan-67,2.4,100,Unknown (288),"Auto, Did not fire",3,4,1
504,./28_01_SH_0002.JPG,28_01_SH_0002.JPG,872 kB,BTC5HDP,9/20/19 11:12,2000x1111,42.0 mm,Jan-73,2.4,100,Unknown (288),"Auto, Did not fire",3,4,1
536,./28_01_SH_0003.JPG,28_01_SH_0003.JPG,872 kB,BTC5HDP,9/20/19 11:12,2000x1111,42.0 mm,Jan-73,2.4,100,Unknown (288),"Auto, Did not fire",3,4,1
568,./28_01_SH_0004.JPG,28_01_SH_0004.JPG,860 kB,BTC5HDP,9/20/19 18:04,2000x1111,42.0 mm,15-Jan,2.4,200,Unknown (288),"Auto, Did not fire",4,4,1
600,./28_01_SH_0005.JPG,28_01_SH_0005.JPG,861 kB,BTC5HDP,9/20/19 18:04,2000x1111,42.0 mm,15-Jan,2.4,400,Unknown (288),"Auto, Did not fire",4,4,1
632,./28_01_SH_0006.JPG,28_01_SH_0006.JPG,819 kB,BTC5HDP,9/20/19 18:04,2000x1111,42.0 mm,15-Jan,2.4,800,Unknown (288),"Auto, Did not fire",4,4,1
664,./28_01_SH_0007.JPG,28_01_SH_0007.JPG,845 kB,BTC5HDP,9/20/19 18:05,2000x1111,42.0 mm,15-Jan,2.4,200,Unknown (288),"Auto, Did not fire",5,4,1
696,./28_01_SH_0008.JPG,28_01_SH_0008.JPG,866 kB,BTC5HDP,9/20/19 18:05,2000x1111,42.0 mm,15-Jan,2.4,200,Unknown (288),"Auto, Did not fire",5,4,1
728,./28_01_SH_0009.JPG,28_01_SH_0009.JPG,866 kB,BTC5HDP,9/20/19 18:05,2000x1111,42.0 mm,15-Jan,2.4,200,Unknown (288),"Auto, Did not fire",5,4,1
2109,./15_06_SH_000001.JPG,15_06_SH_000001.JPG,857 kB,,9/20/19 19:23,2000x1500,,0,2.8,100,,No Flash,6,4,1
2114,./15_06_SH_000002.JPG,15_06_SH_000002.JPG,857 kB,,9/20/19 19:23,2000x1500,,0,2.8,100,,No Flash,6,4,1
2118,./15_06_SH_000003.JPG,15_06_SH_000003.JPG,856 kB,,9/20/19 19:23,2000x1500,,0,2.8,100,,No Flash,6,4,1
2121,./15_06_SH_000004.JPG,15_06_SH_000004.JPG,857 kB,,9/20/19 19:24,2000x1500,,0,2.8,100,,No Flash,7,4,1
1765,./15_06_SH_000005.JPG,15_06_SH_000005.JPG,855 kB,,9/20/19 19:25,2000x1500,,0,2.8,100,,No Flash,7,4,1
2127,./15_06_SH_000006.JPG,15_06_SH_000006.JPG,854 kB,,9/20/19 19:25,2000x1500,,0,2.8,100,,No Flash,7,4,1
1529,./02_07_SH_000001.JPG,02_07_SH_000001.JPG,867 kB,,9/20/19 21:34,2000x1500,,0,2.8,100,,No Flash,8,4,1
1539,./02_07_SH_000002.JPG,02_07_SH_000002.JPG,865 kB,,9/20/19 21:34,2000x1500,,0,2.8,100,,No Flash,8,4,1
1597,./02_07_SH_000003.JPG,02_07_SH_000003.JPG,865 kB,,9/20/19 21:34,2000x1500,,0,2.8,100,,No Flash,8,4,1
1603,./02_07_SH_000004.JPG,02_07_SH_000004.JPG,866 kB,,9/20/19 21:36,2000x1500,,0,2.8,100,,No Flash,9,4,1
1610,./02_07_SH_000005.JPG,02_07_SH_000005.JPG,863 kB,,9/20/19 21:36,2000x1500,,0,2.8,100,,No Flash,9,4,1
1617,./02_07_SH_000006.JPG,02_07_SH_000006.JPG,863 kB,,9/20/19 21:36,2000x1500,,0,2.8,100,,No Flash,9,4,1
760,./28_01_SH_0010.JPG,28_01_SH_0010.JPG,822 kB,BTC5HDP,9/20/19 22:20,2000x1111,42.0 mm,20-Jan,2.4,800,Unknown (288),"Auto, Fired",10,4,1
792,./28_01_SH_0011.JPG,28_01_SH_0011.JPG,739 kB,BTC5HDP,9/20/19 22:20,2000x1111,42.0 mm,20-Jan,2.4,800,Unknown (288),"Auto, Fired",10,4,1
824,./28_01_SH_0012.JPG,28_01_SH_0012.JPG,873 kB,BTC5HDP,9/20/19 22:20,2000x1111,42.0 mm,20-Jan,2.4,800,Unknown (288),"Auto, Fired",10,4,1
1660,./23_24_SH_0001.JPG,23_24_SH_0001.JPG,771 kB,BTC5HDP,9/20/19 22:45,2000x1111,42.0 mm,20-Jan,2.4,800,Unknown (288),"Auto, Fired",11,4,1
1665,./23_24_SH_0002.JPG,23_24_SH_0002.JPG,876 kB,BTC5HDP,9/20/19 22:45,2000x1111,42.0 mm,30-Jan,2.4,100,Unknown (288),"Auto, Fired",11,4,1
1668,./23_24_SH_0003.JPG,23_24_SH_0003.JPG,849 kB,BTC5HDP,9/20/19 22:45,2000x1111,42.0 mm,Jan-38,2.4,100,Unknown (288),"Auto, Fired",11,4,1
7,./30_17_DON_0004.JPG,30_17_DON_0004.JPG,840 kB,BTC5HDP,9/21/19 3:06,2000x1111,42.0 mm,20-Jan,2.4,400,Unknown (288),"Auto, Fired",12,4,1
