,SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash,Event,Round,Batch
672,./36_32_WF_0292.JPG,36_32_WF_0292.JPG,725 kB,BTC5HDPX,10/27/19 7:19,2000x1125,42.0 mm,22-Jan,2.4,100,Unknown (288),"Auto, Fired",138,4,2
673,./36_32_WF_0293.JPG,36_32_WF_0293.JPG,747 kB,BTC5HDPX,10/27/19 7:19,2000x1125,42.0 mm,18-Jan,2.4,100,Unknown (288),"Auto, Fired",138,4,2
674,./36_32_WF_0294.JPG,36_32_WF_0294.JPG,725 kB,BTC5HDPX,10/27/19 7:19,2000x1125,42.0 mm,22-Jan,2.4,100,Unknown (288),"Auto, Fired",138,4,2
675,./36_32_WF_0295.JPG,36_32_WF_0295.JPG,869 kB,BTC5HDPX,10/27/19 12:13,2000x1125,42.0 mm,Jan-45,2.4,100,Unknown (288),"Auto, Did not fire",139,4,2
676,./36_32_WF_0296.JPG,36_32_WF_0296.JPG,859 kB,BTC5HDPX,10/27/19 12:13,2000x1125,42.0 mm,Jan-36,2.4,100,Unknown (288),"Auto, Did not fire",139,4,2
677,./36_32_WF_0297.JPG,36_32_WF_0297.JPG,858 kB,BTC5HDPX,10/27/19 12:13,2000x1125,42.0 mm,Jan-36,2.4,100,Unknown (288),"Auto, Did not fire",139,4,2
678,./36_32_WF_0298.JPG,36_32_WF_0298.JPG,828 kB,BTC5HDPX,10/27/19 12:33,2000x1125,42.0 mm,Jan-95,2.4,100,Unknown (288),"Auto, Did not fire",140,4,2
679,./36_32_WF_0299.JPG,36_32_WF_0299.JPG,826 kB,BTC5HDPX,10/27/19 12:34,2000x1125,42.0 mm,Jan-95,2.4,100,Unknown (288),"Auto, Did not fire",140,4,2
680,./36_32_WF_0300.JPG,36_32_WF_0300.JPG,825 kB,BTC5HDPX,10/27/19 12:34,2000x1125,42.0 mm,Jan-95,2.4,100,Unknown (288),"Auto, Did not fire",140,4,2
681,./36_32_WF_0301.JPG,36_32_WF_0301.JPG,839 kB,BTC5HDPX,10/28/19 8:35,2000x1125,42.0 mm,30-Jan,2.4,400,Unknown (288),"Auto, Did not fire",141,4,2
682,./36_32_WF_0302.JPG,36_32_WF_0302.JPG,843 kB,BTC5HDPX,10/28/19 8:36,2000x1125,42.0 mm,30-Jan,2.4,400,Unknown (288),"Auto, Did not fire",141,4,2
683,./36_32_WF_0303.JPG,36_32_WF_0303.JPG,841 kB,BTC5HDPX,10/28/19 8:36,2000x1125,42.0 mm,30-Jan,2.4,400,Unknown (288),"Auto, Did not fire",141,4,2
