,SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash,Event,Round,Batch
508,./27_35_DEG_0001.JPG,27_35_DEG_0001.JPG,876 kB,BTC5HDP,5/16/19 14:51,2000x1111,42.0 mm,1/1024,2.4,100,Unknown (288),"Auto, Did not fire",1,4,4
512,./27_35_DEG_0002.JPG,27_35_DEG_0002.JPG,876 kB,BTC5HDP,5/16/19 14:51,2000x1111,42.0 mm,1/1024,2.4,100,Unknown (288),"Auto, Did not fire",1,4,4
516,./27_35_DEG_0003.JPG,27_35_DEG_0003.JPG,876 kB,BTC5HDP,5/16/19 14:51,2000x1111,42.0 mm,1/1024,2.4,100,Unknown (288),"Auto, Did not fire",1,4,4
520,./27_35_DEG_0004.JPG,27_35_DEG_0004.JPG,877 kB,BTC5HDP,5/16/19 15:25,2000x1111,42.0 mm,1/1069,2.4,100,Unknown (288),"Auto, Did not fire",2,4,4
524,./27_35_DEG_0005.JPG,27_35_DEG_0005.JPG,877 kB,BTC5HDP,5/16/19 15:25,2000x1111,42.0 mm,1/1069,2.4,100,Unknown (288),"Auto, Did not fire",2,4,4
528,./27_35_DEG_0006.JPG,27_35_DEG_0006.JPG,877 kB,BTC5HDP,5/16/19 15:25,2000x1111,42.0 mm,1/1069,2.4,100,Unknown (288),"Auto, Did not fire",2,4,4
532,./27_35_DEG_0007.JPG,27_35_DEG_0007.JPG,877 kB,BTC5HDP,5/16/19 15:26,2000x1111,42.0 mm,1/1069,2.4,100,Unknown (288),"Auto, Did not fire",3,4,4
536,./27_35_DEG_0008.JPG,27_35_DEG_0008.JPG,877 kB,BTC5HDP,5/16/19 15:26,2000x1111,42.0 mm,1/1069,2.4,100,Unknown (288),"Auto, Did not fire",3,4,4
540,./27_35_DEG_0009.JPG,27_35_DEG_0009.JPG,879 kB,BTC5HDP,5/16/19 15:26,2000x1111,42.0 mm,1/1069,2.4,100,Unknown (288),"Auto, Did not fire",3,4,4
544,./27_35_DEG_0010.JPG,27_35_DEG_0010.JPG,868 kB,BTC5HDP,5/16/19 15:41,2000x1111,42.0 mm,1/1117,2.4,100,Unknown (288),"Auto, Did not fire",4,4,4
548,./27_35_DEG_0011.JPG,27_35_DEG_0011.JPG,869 kB,BTC5HDP,5/16/19 15:41,2000x1111,42.0 mm,1/1117,2.4,100,Unknown (288),"Auto, Did not fire",4,4,4
552,./27_35_DEG_0012.JPG,27_35_DEG_0012.JPG,868 kB,BTC5HDP,5/16/19 15:41,2000x1111,42.0 mm,1/1117,2.4,100,Unknown (288),"Auto, Did not fire",4,4,4
558,./27_35_DEG_0013.JPG,27_35_DEG_0013.JPG,873 kB,BTC5HDP,5/16/19 15:55,2000x1111,42.0 mm,1/1069,2.4,100,Unknown (288),"Auto, Did not fire",5,4,4
562,./27_35_DEG_0014.JPG,27_35_DEG_0014.JPG,873 kB,BTC5HDP,5/16/19 15:55,2000x1111,42.0 mm,1/1069,2.4,100,Unknown (288),"Auto, Did not fire",5,4,4
566,./27_35_DEG_0015.JPG,27_35_DEG_0015.JPG,873 kB,BTC5HDP,5/16/19 15:55,2000x1111,42.0 mm,1/1069,2.4,100,Unknown (288),"Auto, Did not fire",5,4,4
571,./27_35_DEG_0016.JPG,27_35_DEG_0016.JPG,860 kB,BTC5HDP,5/17/19 10:32,2000x1111,42.0 mm,1/1387,2.4,100,Unknown (288),"Auto, Did not fire",6,4,4
573,./27_35_DEG_0017.JPG,27_35_DEG_0017.JPG,859 kB,BTC5HDP,5/17/19 10:32,2000x1111,42.0 mm,1/1387,2.4,100,Unknown (288),"Auto, Did not fire",6,4,4
575,./27_35_DEG_0018.JPG,27_35_DEG_0018.JPG,859 kB,BTC5HDP,5/17/19 10:32,2000x1111,42.0 mm,1/1387,2.4,100,Unknown (288),"Auto, Did not fire",6,4,4
577,./27_35_DEG_0019.JPG,27_35_DEG_0019.JPG,869 kB,BTC5HDP,5/17/19 11:07,2000x1111,42.0 mm,1/1166,2.4,100,Unknown (288),"Auto, Did not fire",7,4,4
579,./27_35_DEG_0020.JPG,27_35_DEG_0020.JPG,869 kB,BTC5HDP,5/17/19 11:07,2000x1111,42.0 mm,1/1166,2.4,100,Unknown (288),"Auto, Did not fire",7,4,4
