,SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash,Event,Round,Batch
1,./04_12_BC_000001.JPG,04_12_BC_000001.JPG,858 kB,,1/1/13 3:12,2000x1500,,0,2.8,100,,No Flash,1,4,3
3,./04_12_BC_000002.JPG,04_12_BC_000002.JPG,858 kB,,1/1/13 3:12,2000x1500,,0,2.8,100,,No Flash,1,4,3
4,./04_12_BC_000003.JPG,04_12_BC_000003.JPG,858 kB,,1/1/13 3:12,2000x1500,,0,2.8,100,,No Flash,1,4,3
5,./35_16_BC_0001.JPG,35_16_BC_0001.JPG,867 kB,BTC5HDPX,10/19/19 11:42,2000x1125,42.0 mm,1/1069,2.4,100,Unknown (288),"Auto, Did not fire",2,4,3
13,./35_16_BC_0002.JPG,35_16_BC_0002.JPG,870 kB,BTC5HDPX,10/19/19 11:42,2000x1125,42.0 mm,1/1272,2.4,100,Unknown (288),"Auto, Did not fire",2,4,3
20,./35_16_BC_0003.JPG,35_16_BC_0003.JPG,867 kB,BTC5HDPX,10/19/19 11:42,2000x1125,42.0 mm,1/1328,2.4,100,Unknown (288),"Auto, Did not fire",2,4,3
2,./35_16_BC_0001 2.JPG,35_16_BC_0001 2.JPG,877 kB,BTC5HDPX,10/19/19 11:44,2000x1125,42.0 mm,1/1328,2.4,100,Unknown (288),"Auto, Did not fire",3,4,3
9,./35_16_BC_0002 2.JPG,35_16_BC_0002 2.JPG,875 kB,BTC5HDPX,10/19/19 11:44,2000x1125,42.0 mm,1/1387,2.4,100,Unknown (288),"Auto, Did not fire",3,4,3
17,./35_16_BC_0003 2.JPG,35_16_BC_0003 2.JPG,875 kB,BTC5HDPX,10/19/19 11:44,2000x1125,42.0 mm,1/1387,2.4,100,Unknown (288),"Auto, Did not fire",3,4,3
6,./04_12_BC_000004.JPG,04_12_BC_000004.JPG,858 kB,,10/19/19 12:43,2000x1500,,0,2.8,100,,No Flash,4,4,3
8,./04_12_BC_000005.JPG,04_12_BC_000005.JPG,825 kB,,10/19/19 12:43,2000x1500,,0,2.8,100,,No Flash,4,4,3
10,./04_12_BC_000006.JPG,04_12_BC_000006.JPG,873 kB,,10/19/19 12:43,2000x1500,,0,2.8,100,,No Flash,4,4,3
24,./35_16_BC_0004.JPG,35_16_BC_0004.JPG,868 kB,BTC5HDPX,10/19/19 15:21,2000x1125,42.0 mm,1/790,2.4,100,Unknown (288),"Auto, Did not fire",5,4,3
28,./35_16_BC_0005.JPG,35_16_BC_0005.JPG,863 kB,BTC5HDPX,10/19/19 15:21,2000x1125,42.0 mm,1/800,2.4,100,Unknown (288),"Auto, Did not fire",5,4,3
32,./35_16_BC_0006.JPG,35_16_BC_0006.JPG,862 kB,BTC5HDPX,10/19/19 15:21,2000x1125,42.0 mm,1/800,2.4,100,Unknown (288),"Auto, Did not fire",5,4,3
35,./35_16_BC_0007.JPG,35_16_BC_0007.JPG,858 kB,BTC5HDPX,10/19/19 15:22,2000x1125,42.0 mm,1/790,2.4,100,Unknown (288),"Auto, Did not fire",6,4,3
38,./35_16_BC_0008.JPG,35_16_BC_0008.JPG,878 kB,BTC5HDPX,10/19/19 15:22,2000x1125,42.0 mm,1/800,2.4,100,Unknown (288),"Auto, Did not fire",6,4,3
41,./35_16_BC_0009.JPG,35_16_BC_0009.JPG,877 kB,BTC5HDPX,10/19/19 15:22,2000x1125,42.0 mm,1/800,2.4,100,Unknown (288),"Auto, Did not fire",6,4,3
44,./35_16_BC_0010.JPG,35_16_BC_0010.JPG,862 kB,BTC5HDPX,10/19/19 15:23,2000x1125,42.0 mm,1/790,2.4,100,Unknown (288),"Auto, Did not fire",7,4,3
47,./35_16_BC_0011.JPG,35_16_BC_0011.JPG,860 kB,BTC5HDPX,10/19/19 15:23,2000x1125,42.0 mm,1/800,2.4,100,Unknown (288),"Auto, Did not fire",7,4,3
50,./35_16_BC_0012.JPG,35_16_BC_0012.JPG,860 kB,BTC5HDPX,10/19/19 15:23,2000x1125,42.0 mm,1/800,2.4,100,Unknown (288),"Auto, Did not fire",7,4,3
53,./35_16_BC_0013.JPG,35_16_BC_0013.JPG,864 kB,BTC5HDPX,10/19/19 15:24,2000x1125,42.0 mm,1/790,2.4,100,Unknown (288),"Auto, Did not fire",8,4,3
56,./35_16_BC_0014.JPG,35_16_BC_0014.JPG,862 kB,BTC5HDPX,10/19/19 15:24,2000x1125,42.0 mm,1/800,2.4,100,Unknown (288),"Auto, Did not fire",8,4,3
59,./35_16_BC_0015.JPG,35_16_BC_0015.JPG,862 kB,BTC5HDPX,10/19/19 15:24,2000x1125,42.0 mm,1/800,2.4,100,Unknown (288),"Auto, Did not fire",8,4,3
62,./35_16_BC_0016.JPG,35_16_BC_0016.JPG,875 kB,BTC5HDPX,10/19/19 15:26,2000x1125,42.0 mm,1/790,2.4,100,Unknown (288),"Auto, Did not fire",9,4,3
65,./35_16_BC_0017.JPG,35_16_BC_0017.JPG,873 kB,BTC5HDPX,10/19/19 15:26,2000x1125,42.0 mm,1/800,2.4,100,Unknown (288),"Auto, Did not fire",9,4,3
68,./35_16_BC_0018.JPG,35_16_BC_0018.JPG,873 kB,BTC5HDPX,10/19/19 15:26,2000x1125,42.0 mm,1/800,2.4,100,Unknown (288),"Auto, Did not fire",9,4,3
71,./35_16_BC_0019.JPG,35_16_BC_0019.JPG,873 kB,BTC5HDPX,10/19/19 15:31,2000x1125,42.0 mm,1/724,2.4,100,Unknown (288),"Auto, Did not fire",10,4,3
74,./35_16_BC_0020.JPG,35_16_BC_0020.JPG,869 kB,BTC5HDPX,10/19/19 15:31,2000x1125,42.0 mm,1/756,2.4,100,Unknown (288),"Auto, Did not fire",10,4,3
